accuracy,loss,val_accuracy,val_loss
0.4920634925365448,0.7786098718643188,0.6495468020439148,0.6427698731422424
0.5804988741874695,0.6830776929855347,0.7583081722259521,0.5840227007865906
0.6311413645744324,0.6299725770950317,0.8338368535041809,0.5235047340393066
0.7052153944969177,0.5737654566764832,0.8519637584686279,0.4666081964969635
0.7626606225967407,0.5071991682052612,0.8731117844581604,0.40410661697387695
0.786092221736908,0.47938284277915955,0.8791540861129761,0.358146995306015
0.7845804691314697,0.45636847615242004,0.8791540861129761,0.3227844834327698
0.7989417910575867,0.4496009647846222,0.8882175087928772,0.3052082061767578
0.8352229595184326,0.38849449157714844,0.8882175087928772,0.28413939476013184
0.8306878209114075,0.3816607892513275,0.8912386894226074,0.27254873514175415
0.8337112665176392,0.37327879667282104,0.8882175087928772,0.26680678129196167
0.8473166823387146,0.3494921624660492,0.8851963877677917,0.2565428614616394
0.8571428656578064,0.3339485824108124,0.8821752071380615,0.25219637155532837
0.8465608358383179,0.34536421298980713,0.8851963877677917,0.24993588030338287
0.8609221577644348,0.3230932652950287,0.8912386894226074,0.24597994983196259
0.875283420085907,0.3153151273727417,0.8851963877677917,0.24315251410007477
0.8601663112640381,0.31283706426620483,0.8912386894226074,0.23891529440879822
0.8541194200515747,0.32725122570991516,0.8882175087928772,0.24100375175476074
0.8715041279792786,0.3024772107601166,0.8882175087928772,0.2388169914484024
0.8798186182975769,0.2988806366920471,0.8882175087928772,0.24128621816635132
0.8866212964057922,0.28646284341812134,0.8912386894226074,0.23943808674812317
0.8760393261909485,0.3031480014324188,0.8851963877677917,0.23802796006202698
0.884353756904602,0.29646676778793335,0.8882175087928772,0.23842237889766693
0.8745275735855103,0.2903347611427307,0.8851963877677917,0.23415936529636383
0.8767951726913452,0.2860461473464966,0.8972809910774231,0.2325769066810608
0.8904005885124207,0.27198776602745056,0.8972809910774231,0.23150672018527985
0.8851096034049988,0.2684457302093506,0.8942598104476929,0.23261938989162445
0.8813303112983704,0.2745824158191681,0.9003021121025085,0.23242519795894623
0.8949357271194458,0.2545875310897827,0.9003021121025085,0.23259605467319489
0.8896447420120239,0.2632160782814026,0.8942598104476929,0.2314564734697342
0.8919123411178589,0.2654811441898346,0.8942598104476929,0.23325039446353912
0.8888888955116272,0.25498706102371216,0.8942598104476929,0.23279787600040436
0.8926681876182556,0.2509036362171173,0.8912386894226074,0.23253552615642548
0.8934240341186523,0.2578595280647278,0.9003021121025085,0.23097752034664154
0.8866212964057922,0.26274919509887695,0.9003021121025085,0.22756467759609222
0.8911564350128174,0.24695520102977753,0.8942598104476929,0.2272590845823288
0.8904005885124207,0.2547617256641388,0.8972809910774231,0.2312801331281662
0.9070294499397278,0.2507154941558838,0.903323233127594,0.23509681224822998
0.8949357271194458,0.24620938301086426,0.8972809910774231,0.2308487445116043
0.8994709253311157,0.23378793895244598,0.8972809910774231,0.23091860115528107
0.8858654499053955,0.23559512197971344,0.8912386894226074,0.23224982619285583
0.896447479724884,0.24301934242248535,0.8942598104476929,0.2298888862133026
0.8956916332244873,0.25964921712875366,0.8942598104476929,0.23177237808704376
0.9002267718315125,0.2380390167236328,0.8972809910774231,0.23380190134048462
0.8941798806190491,0.23172278702259064,0.8972809910774231,0.2360360026359558
0.9040060639381409,0.23882171511650085,0.8972809910774231,0.23117651045322418
