iter	Passed	Remaining
330	3534	7638
331	3537	7598
332	3539	7566
333	3541	7535
334	3543	7504
335	3545	7474
336	3549	7446
337	3551	7416
338	3554	7388
339	3554	7388
340	3557	7348
341	3559	7318
342	3561	7289
343	3563	7260
344	3565	7231
345	3567	7201
346	3569	7172
347	3571	7143
348	3573	7114
349	3576	7086
350	3578	7058
351	3580	7030
352	3582	7001
353	3583	6973
354	3587	6948
355	3589	6921
356	3591	6893
357	3593	6866
358	3595	6839
359	3598	6812
360	3600	6786
361	3602	6759
362	3605	6735
363	3608	6709
364	3610	6683
365	3612	6657
366	3614	6631
367	3616	6605
368	3616	6605
369	3620	6572
370	3623	6548
371	3623	6548
372	3625	6512
373	3626	6486
374	3629	6463
375	3631	6438
376	3634	6414
377	3636	6389
378	3638	6364
379	3640	6340
380	3643	6316
381	3647	6295
382	3650	6273
383	3650	6273
384	3652	6239
385	3654	6215
386	3656	6192
387	3659	6170
388	3662	6147
389	3664	6124
390	3666	6101
391	3669	6078
392	3671	6056
393	3674	6034
394	3676	6012
395	3680	5992
396	3685	5973
397	3687	5951
398	3689	5929
399	3692	5908
400	3695	5887
401	3697	5865
402	3701	5845
403	3704	5826
404	3710	5809
405	3714	5790
406	3716	5768
407	3717	5746
408	3719	5724
409	3721	5703
410	3723	5681
411	3725	5659
412	3726	5638
413	3728	5616
414	3730	5595
415	3731	5574
416	3733	5553
417	3735	5532
418	3737	5511
419	3739	5490
420	3741	5469
421	3743	5449
422	3745	5429
423	3747	5409
424	3749	5390
425	3751	5370
426	3753	5350
427	3755	5330
428	3757	5310
429	3759	5291
430	3761	5271
431	3763	5251
432	3764	5231
433	3766	5212
434	3768	5193
435	3770	5173
436	3772	5154
437	3773	5135
438	3775	5116
439	3777	5097
440	3779	5078
441	3781	5059
442	3782	5040
443	3784	5022
444	3786	5003
445	3788	4985
446	3790	4967
447	3792	4949
448	3794	4931
449	3796	4913
450	3799	4896
451	3801	4878
452	3803	4860
453	3804	4842
454	3806	4825
455	3808	4807
456	3810	4789
457	3811	4771
458	3813	4753
459	3815	4736
460	3817	4719
461	3819	4701
462	3820	4684
463	3822	4667
464	3824	4650
465	3826	4633
466	3826	4633
467	3828	4608
468	3830	4591
469	3833	4575
470	3835	4559
471	3837	4542
472	3839	4526
473	3841	4510
474	3843	4493
475	3845	4478
476	3848	4462
477	3848	4462
478	3848	4462
479	3850	4429
480	3852	4414
481	3855	4398
482	3857	4383
483	3859	4367
484	3861	4351
485	3863	4335
486	3864	4319
487	3866	4303
488	3868	4287
489	3870	4272
490	3872	4256
491	3874	4241
492	3876	4226
493	3878	4211
494	3880	4196
495	3882	4181
496	3884	4166
497	3886	4151
498	3888	4136
499	3890	4121
500	3892	4106
501	3895	4092
502	3895	4092
503	3897	4069
504	3901	4056
505	3904	4044
506	3908	4030
507	3910	4016
508	3913	4003
509	3916	3989
510	3921	3978
511	3925	3966
512	3928	3952
513	3931	3939
514	3935	3927
515	3939	3915
516	3945	3905
517	3949	3892
518	3951	3878
519	3954	3866
520	3960	3856
521	3970	3849
522	3974	3837
523	3976	3824
524	3980	3811
525	3982	3798
526	3985	3785
527	3988	3772
528	3992	3760
529	3998	3750
530	4000	3737
531	4003	3724
532	4005	3711
533	4008	3699
534	4011	3686
535	4014	3674
536	4017	3661
537	4019	3648
538	4022	3635
539	4025	3623
540	4029	3612
541	4032	3599
542	4034	3586
543	4036	3574
544	4038	3560
545	4040	3547
546	4042	3535
547	4045	3522
548	4047	3510
549	4049	3497
550	4051	3484
551	4053	3472
552	4055	3459
553	4059	3448
554	4061	3436
555	4064	3424
556	4066	3411
557	4068	3399
558	4071	3387
559	4073	3375
560	4075	3362
561	4077	3350
562	4080	3338
563	4081	3326
564	4083	3314
565	4085	3302
566	4087	3289
567	4089	3277
568	4091	3265
569	4093	3253
570	4095	3241
571	4097	3229
572	4100	3218
573	4102	3206
574	4104	3195
575	4106	3183
576	4108	3171
577	4110	3159
578	4112	3148
579	4114	3136
580	4116	3124
581	4121	3115
582	4123	3104
583	4125	3092
584	4128	3081
585	4132	3071
586	4135	3060
587	4137	3049
588	4139	3037
589	4141	3026
590	4142	3014
591	4144	3003
592	4149	2994
593	4152	2984
594	4156	2974
595	4161	2965
596	4164	2954
597	4167	2944
598	4170	2934
599	4173	2923
600	4176	2913
601	4177	2901
602	4180	2891
603	4182	2880
604	4184	2869
605	4186	2858
606	4188	2848
607	4193	2838
608	4196	2829
609	4199	2819
610	4201	2808
611	4204	2797
612	4205	2787
613	4207	2776
614	4209	2765
615	4211	2754
616	4212	2744
617	4215	2734
618	4217	2723
619	4219	2713
620	4221	2702
621	4223	2692
622	4225	2681
623	4227	2671
624	4229	2661
625	4231	2650
626	4232	2640
627	4234	2629
628	4234	2629
629	4237	2612
630	4238	2602
631	4240	2592
632	4242	2582
633	4244	2571
634	4246	2561
635	4248	2551
636	4250	2541
637	4252	2531
638	4254	2521
639	4256	2512
640	4259	2502
641	4262	2493
642	4266	2484
643	4270	2475
644	4276	2468
645	4276	2468
646	4276	2468
647	4281	2446
648	4283	2436
649	4285	2427
650	4287	2417
651	4289	2407
652	4292	2398
653	4294	2388
654	4296	2379
655	4298	2369
656	4300	2360
657	4302	2350
658	4304	2341
659	4306	2331
660	4308	2322
661	4310	2312
662	4312	2303
663	4314	2293
664	4316	2284
665	4318	2274
666	4320	2265
667	4324	2257
668	4329	2249
669	4334	2242
670	4337	2233
671	4341	2225
672	4346	2217
673	4346	2217
674	4349	2201
675	4350	2192
676	4352	2183
677	4354	2174
678	4356	2164
679	4358	2155
680	4360	2146
681	4362	2137
682	4364	2128
683	4366	2119
684	4368	2110
685	4371	2101
686	4373	2092
687	4374	2083
688	4376	2075
689	4378	2066
690	4380	2057
691	4382	2048
692	4382	2048
693	4384	2032
694	4386	2023
695	4388	2015
696	4389	2006
697	4391	1997
698	4393	1988
699	4395	1979
700	4398	1971
701	4400	1963
702	4402	1954
703	4404	1945
704	4405	1937
705	4407	1928
706	4409	1919
707	4411	1911
708	4413	1902
709	4414	1893
710	4416	1885
711	4418	1876
712	4420	1868
713	4422	1860
714	4424	1851
715	4427	1843
716	4428	1835
717	4430	1826
718	4430	1826
719	4433	1812
720	4436	1804
721	4438	1796
722	4441	1788
723	4443	1779
724	4445	1771
725	4447	1763
726	4450	1755
727	4453	1747
728	4454	1739
729	4457	1731
730	4460	1723
731	4462	1715
732	4465	1708
733	4468	1700
734	4469	1692
735	4471	1684
736	4473	1676
737	4475	1668
738	4477	1660
739	4480	1652
740	4482	1644
741	4484	1636
742	4486	1628
743	4488	1620
744	4491	1613
745	4493	1605
746	4495	1597
747	4497	1589
748	4500	1581
749	4502	1574
750	4504	1566
751	4506	1558
752	4509	1551
753	4511	1543
754	4513	1535
755	4514	1527
756	4516	1520
757	4518	1512
758	4520	1504
759	4522	1497
760	4524	1489
761	4525	1481
762	4527	1474
763	4529	1466
764	4531	1458
765	4533	1451
766	4535	1443
767	4537	1436
768	4539	1428
769	4541	1421
770	4543	1413
771	4545	1406
772	4547	1398
773	4549	1391
774	4552	1384
775	4555	1377
776	4557	1369
777	4561	1362
778	4561	1362
779	4564	1349
780	4567	1342
781	4571	1335
782	4575	1329
783	4579	1322
784	4579	1322
785	4582	1309
786	4587	1302
787	4587	1302
788	4589	1289
789	4591	1282
790	4593	1275
791	4593	1275
792	4596	1262
793	4600	1255
794	4604	1248
795	4607	1241
796	4611	1235
797	4615	1228
798	4617	1221
799	4621	1214
800	4623	1207
801	4625	1200
802	4627	1193
803	4629	1186
804	4631	1179
805	4633	1171
806	4635	1164
807	4635	1164
808	4638	1151
809	4638	1151
810	4639	1138
811	4642	1131
812	4644	1125
813	4646	1118
814	4648	1111
815	4650	1104
816	4652	1097
817	4655	1090
818	4656	1083
819	4658	1076
820	4660	1069
821	4662	1062
822	4664	1055
823	4666	1048
824	4668	1042
825	4670	1035
826	4671	1028
827	4673	1021
828	4675	1014
829	4677	1007
830	4679	1001
831	4681	994
832	4683	987
833	4685	980
834	4687	974
835	4688	967
836	4692	960
837	4695	954
838	4697	947
839	4699	941
840	4702	934
841	4704	927
842	4706	921
843	4707	914
844	4709	907
845	4711	901
846	4711	901
847	4713	888
848	4715	882
849	4716	875
850	4718	869
851	4720	862
852	4722	856
853	4724	849
854	4726	843
855	4728	836
856	4728	836
857	4730	824
858	4732	817
859	4734	811
860	4736	804
861	4738	798
862	4740	792
863	4742	785
864	4744	779
865	4746	772
866	4748	766
867	4750	760
868	4753	753
869	4756	747
870	4756	747
871	4759	735
872	4763	729
873	4765	723
874	4765	723
875	4768	711
876	4770	705
877	4772	698
878	4773	692
879	4776	686
880	4778	680
881	4780	673
882	4782	667
883	4784	661
884	4786	655
885	4788	649
886	4790	642
887	4792	636
888	4794	630
889	4796	624
890	4798	618
891	4800	612
892	4802	605
893	4804	599
894	4806	593
895	4808	587
896	4810	581
897	4812	575
898	4814	569
899	4816	563
900	4818	557
901	4820	551
902	4822	545
903	4825	539
904	4827	533
905	4828	527
906	4830	521
907	4832	515
908	4834	509
909	4836	503
910	4838	497
911	4838	497
912	4842	485
913	4845	480
914	4849	474
915	4851	468
916	4853	462
917	4856	456
918	4860	450
919	4865	445
920	4868	439
921	4871	433
922	4873	427
923	4876	422
924	4877	416
925	4880	410
926	4881	404
927	4883	398
928	4886	392
929	4888	387
930	4890	381
931	4892	375
932	4894	369
933	4896	363
934	4898	358
935	4901	352
936	4903	346
937	4906	341
938	4909	335
939	4913	329
940	4917	324
941	4921	318
942	4924	312
943	4927	307
944	4929	301
945	4932	295
946	4934	290
947	4936	284
948	4938	278
949	4940	273
950	4942	267
951	4944	261
952	4946	256
953	4948	250
954	4951	245
955	4953	239
956	4955	233
957	4957	228
958	4959	222
959	4961	217
960	4964	211
961	4965	206
962	4968	200
963	4970	194
964	4971	189
965	4973	183
966	4975	178
967	4977	172
968	4979	167
969	4982	161
970	4984	156
971	4986	150
972	4988	145
973	4990	139
974	4992	134
975	4995	128
976	4997	123
977	5000	118
978	5004	112
979	5009	107
980	5014	101
981	5022	96
982	5026	91
983	5031	85
984	5033	80
985	5035	74
986	5037	69
987	5039	64
988	5042	58
989	5044	53
990	5046	48
991	5048	42
992	5051	37
993	5055	31
994	5058	26
995	5060	21
996	5063	15
997	5065	10
998	5067	5
999	5069	0
