iter	Logloss
0	0.6773381402
1	0.6622117721
2	0.6482809173
3	0.6375997876
4	0.6225530384
5	0.6110993247
6	0.6011688037
7	0.5916741438
8	0.580950948
9	0.570343481
10	0.5586347553
11	0.5480804354
12	0.5377454456
13	0.527931185
14	0.5201660926
15	0.51416004
16	0.5080629914
17	0.4987914991
18	0.4907190905
19	0.483060831
20	0.4750092069
21	0.4669484376
22	0.4622722668
23	0.4560525746
24	0.4487176617
25	0.4428738609
26	0.4372725869
27	0.4316930803
28	0.4251149622
29	0.4201586396
30	0.4155295738
31	0.4109780859
32	0.405125826
33	0.3998741593
34	0.3966866363
35	0.3931052384
36	0.3874405428
37	0.3841716998
38	0.3796882288
39	0.3753073061
40	0.3711514147
41	0.3680830929
42	0.3654316735
43	0.360961022
44	0.3566029791
45	0.352613987
46	0.3492089825
47	0.3462761317
48	0.3424968295
49	0.3394307716
50	0.3367783651
51	0.3342855836
52	0.330121351
53	0.3258860881
54	0.3218761318
55	0.3181928669
56	0.3154795933
57	0.3121262565
58	0.3086465689
59	0.3053745707
60	0.3019114888
61	0.2990997587
62	0.2963096426
63	0.2925715462
64	0.2898498193
65	0.2869611397
66	0.2841781347
67	0.2806191718
68	0.2785732797
69	0.27566916
70	0.2730339476
71	0.2704210901
72	0.2688820498
73	0.2657771404
74	0.2641673947
75	0.2616015951
76	0.2588294563
77	0.2578781072
78	0.254530365
79	0.2521357028
80	0.2496319734
81	0.247177553
82	0.2446427366
83	0.2432080751
84	0.2411072895
85	0.2390954088
86	0.236553834
87	0.2343099803
88	0.2321281187
89	0.2309140472
90	0.2283390728
91	0.2257539458
92	0.2243319967
93	0.2228339575
94	0.2218605598
95	0.2208805824
96	0.2202625938
97	0.2185253286
98	0.216290319
99	0.2147070013
100	0.2128780734
101	0.2107484078
102	0.2091804863
103	0.2085318073
104	0.2070243055
105	0.2052817537
106	0.204059215
107	0.2029314241
108	0.202133128
109	0.2014079863
110	0.1999265508
111	0.1984349678
112	0.1973959248
113	0.195654912
114	0.1941867376
115	0.1921092084
116	0.1906822026
117	0.1893634342
118	0.1881281262
119	0.186897814
120	0.1857140926
121	0.1843661737
122	0.1827499822
123	0.1821233113
124	0.1816384423
125	0.1810336544
126	0.1791521792
127	0.1779137285
128	0.1763428839
129	0.1754855044
130	0.1741848235
131	0.172719213
132	0.17171998
133	0.1712343201
134	0.1706513117
135	0.1702172638
136	0.16920656
137	0.167489761
138	0.1661193825
139	0.1654016461
140	0.1646374435
141	0.1632724226
142	0.1621769085
143	0.1608942351
144	0.1604071014
145	0.1594727888
146	0.158407495
147	0.1580618445
148	0.1570885695
149	0.1559761499
150	0.1545276245
151	0.1532341154
152	0.1526909224
153	0.1515342987
154	0.1504682257
155	0.149784389
156	0.1492030529
157	0.1482211734
158	0.1473802257
159	0.1463596304
160	0.1458739774
161	0.1454990009
162	0.1444493761
163	0.1435237587
164	0.143089229
165	0.1421125834
166	0.1416008423
167	0.1409788877
168	0.1398836807
169	0.1387666776
170	0.138211674
171	0.1374190735
172	0.1365965432
173	0.136137146
174	0.1357908092
175	0.1349071649
176	0.1340260929
177	0.1330506952
178	0.132686507
179	0.1318194968
180	0.1312440274
181	0.130727865
182	0.1302162718
183	0.1294049092
184	0.1283385805
185	0.1278994118
186	0.1271397249
187	0.1267322071
188	0.1261978787
189	0.125190013
190	0.1248766753
191	0.1239832146
192	0.1231422037
193	0.1221868859
194	0.1217553576
195	0.1214204508
196	0.1208462016
197	0.1201087215
198	0.1194195909
199	0.1190942882
200	0.1185981095
201	0.1182010032
202	0.1174327621
203	0.1168553653
204	0.116254664
205	0.115967466
206	0.1153550087
207	0.1146308106
208	0.1138648273
209	0.1135740954
210	0.1128707291
211	0.1122066205
212	0.1117294662
213	0.1108659692
214	0.1104541944
215	0.1096134892
216	0.1089486982
217	0.1085273511
218	0.1080753967
219	0.1078331118
220	0.1069660521
221	0.1063519401
222	0.1057082285
223	0.1053358588
224	0.1050235353
225	0.1044198355
226	0.1035972622
227	0.1033212961
228	0.1030701212
229	0.1023003562
230	0.1016781473
231	0.1013639593
232	0.1009666028
233	0.1007288137
234	0.1002319475
235	0.09944500457
236	0.09924039829
237	0.09898229998
238	0.09872038974
239	0.09829375306
240	0.09797001027
241	0.09775905122
242	0.09739912744
243	0.09702730928
244	0.09657239158
245	0.09607193381
246	0.09589964184
247	0.09554317946
248	0.09492404638
249	0.09425289433
250	0.09406222133
251	0.09353702085
252	0.09328739879
253	0.09293156133
254	0.09269975634
255	0.09251869422
256	0.09233350918
257	0.09175057349
258	0.09141161092
259	0.09105802383
260	0.09090806332
261	0.09072299813
262	0.09046495594
263	0.09030279449
264	0.08990266199
265	0.08943338164
266	0.08883766841
267	0.08834476603
268	0.08788100179
269	0.08734893198
270	0.08706782563
271	0.08658589528
272	0.08615353138
273	0.08576679947
274	0.08523771706
275	0.0850886215
276	0.08489715588
277	0.0845743295
278	0.08414992235
279	0.08386364479
280	0.08347365496
281	0.08286471712
282	0.08267261057
283	0.08233608171
284	0.08208108297
285	0.08193278745
286	0.08173093887
287	0.08151775837
288	0.0814019306
289	0.08105098019
290	0.08065617201
291	0.08050368118
292	0.08030792603
293	0.08003151753
294	0.07954156851
295	0.07923300637
296	0.07910730941
297	0.07876127235
298	0.07865799591
299	0.07855445702
300	0.07834949214
301	0.07821030058
302	0.07797204609
303	0.07780776509
304	0.07769875821
305	0.07733315701
306	0.07695814828
307	0.07681723238
308	0.07654659352
309	0.07616490875
310	0.07603669179
311	0.07587422716
312	0.07571443428
313	0.07547636932
314	0.07533690511
315	0.07490914763
316	0.07445090338
317	0.07428667469
318	0.07407961119
319	0.07397791198
320	0.07367838262
321	0.07341524355
322	0.07302454466
323	0.0728329834
324	0.07266369343
325	0.07242694462
326	0.0722548766
327	0.07210644915
328	0.07179627504
329	0.07148676278
330	0.07137566075
331	0.07119638716
332	0.07102962821
333	0.07088403389
334	0.07043891809
335	0.07032555206
336	0.07013335253
337	0.06974469253
338	0.06954608746
339	0.06944696339
340	0.06936837237
341	0.06909315919
342	0.06877921359
343	0.0683420706
344	0.06813586507
345	0.06797468559
346	0.06758159567
347	0.06749255363
348	0.0673599774
349	0.06721962325
350	0.06693591147
351	0.0666545676
352	0.06636200379
353	0.06620114519
354	0.06581213912
355	0.06552899685
356	0.06538971868
357	0.06506983321
358	0.06467420341
359	0.06426835273
360	0.06413464079
361	0.06400993696
362	0.06391949947
363	0.06383087563
364	0.06370871316
365	0.06353272616
366	0.06333489601
367	0.06320324434
368	0.06305382505
369	0.06283173278
370	0.06273540173
371	0.06264467888
372	0.06261987941
373	0.06220427172
374	0.06206861813
375	0.06193945364
376	0.06167224376
377	0.06155376755
378	0.06145069013
379	0.06133632993
380	0.06124627048
381	0.06117274766
382	0.06112997904
383	0.06090955848
384	0.06052399017
385	0.06042760294
386	0.06013966149
387	0.06003729029
388	0.05986850582
389	0.05970880283
390	0.05951819531
